timestamp,open,high,low,close,volume
2018-06-13,1702.8100,1713.7500,1700.1200,1704.8100,3308407
2018-06-12,1693.0000,1699.5100,1691.5200,1698.7500,2202759
2018-06-11,1681.5100,1694.2400,1680.5900,1689.1200,2335484
2018-06-08,1681.1200,1689.4400,1673.0100,1683.9900,2955110
2018-06-07,1698.5600,1699.9000,1676.1100,1689.3000,3765687
2018-06-06,1704.5100,1714.5000,1686.4700,1695.7500,5473213
2018-06-05,1672.9900,1699.0000,1670.0600,1696.3500,4782177
2018-06-04,1648.9000,1665.6800,1645.4900,1665.2700,3187737
2018-06-01,1637.0300,1646.7300,1635.0900,1641.5400,3313385
2018-05-31,1623.0000,1635.0000,1621.3500,1629.6200,3166330
2018-05-30,1618.1000,1626.0000,1612.9300,1624.8900,2907357
2018-05-29,1600.7100,1621.7900,1600.1500,1612.8700,3846477
2018-05-25,1603.0000,1614.1200,1600.4500,1610.1500,2698400
2018-05-24,1598.0300,1608.2400,1588.3800,1603.0700,3429975
2018-05-23,1571.0500,1601.8600,1566.3400,1601.8600,3361892
2018-05-22,1589.8900,1589.8900,1575.2500,1581.4000,2115639
2018-05-21,1585.0000,1592.0500,1575.0000,1585.4600,2925235
2018-05-18,1581.3300,1583.5900,1572.1000,1574.3700,2642584
2018-05-17,1580.5600,1594.0400,1573.0000,1581.7600,2147606
2018-05-16,1577.5000,1594.4300,1576.6700,1587.2800,2570572
2018-05-15,1587.8000,1587.8000,1565.2200,1576.1200,5077465
2018-05-14,1604.0000,1611.1800,1600.0500,1601.5400,2509483
2018-05-11,1610.9900,1611.1000,1597.8900,1602.9100,2263900
2018-05-10,1608.4800,1615.6000,1603.4400,1609.0800,2817450
2018-05-09,1600.0000,1608.0000,1592.0000,1608.0000,3637302
2018-05-08,1595.0000,1596.8800,1582.5100,1592.3900,3067949
2018-05-07,1589.3400,1606.9500,1587.8300,1600.1400,3801855
2018-05-04,1562.4500,1584.9000,1562.1900,1580.9500,3443567
2018-05-03,1560.0100,1574.8000,1546.0200,1572.0800,4251917
2018-05-02,1580.9800,1588.5000,1566.3600,1569.6800,4360273
2018-05-01,1563.2200,1585.0000,1552.1800,1582.2600,4572071
2018-04-30,1582.5000,1596.0000,1560.9400,1566.1300,5464085
2018-04-27,1634.0100,1638.1000,1567.3900,1572.6200,13053241
2018-04-26,1485.0100,1529.4200,1478.5000,1517.9600,8801101
2018-04-25,1458.0000,1469.9900,1415.0200,1460.1700,6587290
2018-04-24,1535.8000,1539.5000,1448.4500,1460.0900,7494699
2018-04-23,1546.6900,1548.0000,1503.4100,1517.8600,4465424
2018-04-20,1561.2000,1561.2000,1516.0900,1527.4900,5541622
2018-04-19,1543.2200,1568.5200,1539.0600,1556.9100,6523728
2018-04-18,1514.6500,1533.8000,1504.1100,1527.8400,5227509
2018-04-17,1462.3000,1507.1900,1457.0200,1503.8300,5114403
2018-04-16,1445.0000,1447.0000,1427.4800,1441.5000,2808624
2018-04-13,1449.1400,1459.7800,1424.5200,1430.7900,3685267
2018-04-12,1439.5000,1452.1200,1435.0600,1448.5000,3135027
2018-04-11,1439.4400,1448.7800,1424.8900,1427.0500,3582533
2018-04-10,1431.9900,1438.3800,1415.7000,1436.2200,4280144
2018-04-09,1425.0300,1438.4800,1402.5700,1406.0800,4208206
2018-04-06,1429.9700,1452.5000,1400.2600,1405.2300,5882257
2018-04-05,1441.9900,1459.5600,1427.0700,1451.7500,6413459
2018-04-04,1358.2400,1415.3900,1352.8800,1410.5700,6982305
2018-04-03,1391.3800,1414.0000,1355.3300,1392.0500,10231212
2018-04-02,1417.6200,1421.3600,1355.0000,1371.9900,10463607
2018-03-29,1406.0000,1455.4700,1365.2000,1447.3400,12581121
2018-03-28,1447.0000,1455.9000,1386.1700,1431.4200,13705317
2018-03-27,1572.4000,1575.9600,1482.3200,1497.0500,6793279
2018-03-26,1530.0000,1556.9900,1499.2500,1555.8600,5547618
2018-03-23,1539.0100,1549.0200,1495.3600,1495.5600,7843966
2018-03-22,1565.4700,1573.8500,1542.4000,1544.9200,6177737
2018-03-21,1586.4500,1590.0000,1563.1700,1581.8600,4667291
2018-03-20,1550.3400,1587.0000,1545.4100,1586.5100,4507049
2018-03-19,1554.5300,1561.6600,1525.3500,1544.9300,6376619
2018-03-16,1583.4500,1589.4400,1567.5000,1571.6800,5145054
2018-03-15,1595.0000,1596.9100,1578.1100,1582.3200,4026744
2018-03-14,1597.0000,1606.4400,1590.8900,1591.0000,4164395
2018-03-13,1615.9600,1617.5400,1578.0100,1588.1800,6427066
2018-03-12,1592.6000,1605.3300,1586.7000,1598.3900,5115886
2018-03-09,1563.5000,1578.9400,1559.0800,1578.8900,4417059
2018-03-08,1550.0000,1554.8800,1545.2500,1551.8600,3512528
2018-03-07,1526.5200,1545.9000,1522.5100,1545.0000,4174123
2018-03-06,1533.2000,1542.1300,1528.0000,1537.6400,4561718
2018-03-05,1494.2400,1525.3800,1481.0000,1523.6100,5233934
2018-03-02,1469.1000,1501.0500,1455.0100,1500.2500,6587564
2018-03-01,1513.6000,1518.4900,1465.0000,1493.4500,6835230
2018-02-28,1519.5100,1528.7000,1512.0000,1512.4500,4426580
2018-02-27,1524.5000,1526.7800,1507.2100,1511.9800,4708378
2018-02-26,1509.2000,1522.8400,1507.0000,1521.9500,4909053
2018-02-23,1495.3400,1500.0000,1486.5000,1500.0000,4327008
2018-02-22,1495.3600,1502.5400,1475.7600,1485.3400,4732555
2018-02-21,1485.0000,1503.4900,1478.9200,1482.9200,6216694
2018-02-20,1446.4900,1488.7700,1446.4900,1468.3500,6388374
2018-02-16,1457.3700,1465.8000,1446.5600,1448.6900,4410879
